district_id,image_link
in2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/in2.PNG
in3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/in3.PNG
in4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/in4.PNG
in5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/in5.PNG
in6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/in6.PNG
in7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/in7.PNG
in8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/in8.PNG
in9,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/in9.PNG
ks1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ks1.PNG
ks2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ks2.PNG
ks3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ks3.PNG
ks4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ks4.PNG
ky1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ky1.PNG
ky2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ky2.PNG
ky3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ky3.PNG
ky4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ky4.PNG
ky5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ky5.PNG
ky6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ky6.PNG
la1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/la1.PNG
la2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/la2.PNG
la3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/la3.PNG
la4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/la4.PNG
la5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/la5.PNG
la6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/la6.PNG
ma1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma1.PNG
ma2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma2.PNG
ma3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma3.PNG
ma4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma4.PNG
ma5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma5.PNG
ma6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma6.PNG
ma7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma7.PNG
ma8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma8.PNG
ma9,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ma9.PNG
md1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/md1.PNG
md2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/md2.PNG
md3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/md3.PNG
md4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/md4.PNG
md5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/md5.PNG
md6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/md6.PNG
md7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/md7.PNG
md8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/md8.PNG
me1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/me1.PNG
me2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/me2.PNG
mi1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi1.PNG
mi2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi2.PNG
mi3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi3.PNG
mi4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi4.PNG
mi5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi5.PNG
mi6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi6.PNG
mi7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi7.PNG
mi8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi8.PNG
mi9,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi9.PNG
mi10,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi10.PNG
mi11,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi11.PNG
mi12,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi12.PNG
mi13,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi13.PNG
mi14,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mi14.PNG
mn1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mn1.PNG
mn2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mn2.PNG
mn3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mn3.PNG
mn4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mn4.PNG
mn5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mn5.PNG
mn6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mn6.PNG
mn7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mn7.PNG
mn8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mn8.PNG
mo1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mo1.PNG
mo2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mo2.PNG
mo3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mo3.PNG
mo4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mo4.PNG
mo5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mo5.PNG
mo6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mo6.PNG
mo7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mo7.PNG
mo8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mo8.PNG
ms1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ms1.PNG
ms2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ms2.PNG
ms3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ms3.PNG
ms4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ms4.PNG
mt0,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/mt0.PNG
nc1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc1.PNG
nc2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc2.PNG
nc3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc3.PNG
nc4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc4.PNG
nc5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc5.PNG
nc6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc6.PNG
nc7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc7.PNG
nc8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc8.PNG
nc9,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc9.PNG
nc10,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc10.PNG
nc11,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc11.PNG
nc12,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc12.PNG
nc13,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nc13.PNG
nd0,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nd0.PNG
ne1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ne1.PNG
ne2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ne2.PNG
ne3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/ne3.PNG
nh1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nh1.PNG
nh2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nh2.PNG
nj1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj1.PNG
nj2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj2.PNG
nj3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj3.PNG
nj4,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj4.PNG
nj5,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj5.PNG
nj6,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj6.PNG
nj7,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj7.PNG
nj8,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj8.PNG
nj9,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj9.PNG
nj10,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj10.PNG
nj11,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj11.PNG
nj12,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nj12.PNG
nm1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nm1.PNG
nm2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nm2.PNG
nm3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nm3.PNG
nv1,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nv1.PNG
nv2,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nv2.PNG
nv3,https://github.com/madelinekinnaird/Gerrymandr/blob/master/images/nv3.PNG
